source,name,one_liner,long_description,website,batch,industry,subindustry,industries,tags,regions,team_size,is_hiring,status,yc_url,votes,created_at
واي سي,حالة النص,نحن نجعل قوانين العالم حرة ومفهومة.,"Casetext، تقنية البحث القانوني المعتمدة على الذكاء الاصطناعي الأكثر استخدامًا، تم اعتمادها في السوق القانونية، بدءًا من أكبر شركات المحاماة الأمريكية المدرجة ضمن قائمة Am Law 100 ووصولًا إلى الشركات الفردية. توفر تقنيتها الحائزة على جوائز كلًا من وظيفة البحث التقليدية والبحث السياقي المدعوم بالذكاء الاصطناعي CARA، مع التركيز على سياق بحثك لمساعدتك في العثور على الجهات المختصة بشكل أسرع. أسسها فريق من المحامين السابقين من كبرى شركات المحاماة، بالإضافة إلى علماء بيانات حاصلين على درجة الدكتوراه ومهندسي ذكاء اصطناعي رائدين، تساعد Casetext الباحثين القانونيين في العثور على أفضل القضايا بشكل أسرع، بما في ذلك العديد من القضايا التي قد يغفلونها لولا ذلك. لمزيد من المعلومات، تفضل بزيارة www.casetext.com أو تواصل مع فريقنا عبر البريد الإلكتروني contact@casetext.com .",http://casetext.com,صيف 2013,ب2ب,B2B -> قانوني,B2B؛ قانوني,الذكاء الاصطناعي؛ القانوني,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ عن بُعد؛ عن بُعد بالكامل,50,FALSE,مكتسب,https://www.ycombinator.com/companies/casetext,,
واي سي,رحلة بحرية,السيارات ذاتية القيادة.,"تُطوّر كروز أحدث تكنولوجيا للسيارات الكهربائية ذاتية القيادة في العالم، لربط الناس بأمان بالأماكن والأشياء والتجارب التي يهتمون بها. ستُسهم السيارات ذاتية القيادة في إنقاذ الأرواح، وإعادة تصور المدن، وإعادة تعريف زمن التنقل، واستعادة حرية التنقل للأفراد الذين يعيشون في المناطق الحضرية المكتظة. استحوذت عليها جنرال موتورز عام ٢٠١٦.",http://getcruise.com,شتاء 2014,الصناعات,الصناعات -> السيارات,الصناعات؛ السيارات,التوصيل الذاتي؛ التعلم الآلي؛ المناخ؛ الذكاء الاصطناعي؛ المركبات ذاتية القيادة,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,3000,FALSE,مكتسب,https://www.ycombinator.com/companies/cruise,,
واي سي,نظرية,مهمة ثيوريم هي جعل الائتمان آمنًا ومتاحًا. نستخدم...,تُجري شركة ثيوريم اكتتابًا مستقلًا لقروض المستهلكين الصادرة عن البنوك وشركات بطاقات الائتمان وغيرها من الجهات المقرضة. نستخدم هذه المعلومات لإدارة رأس المال المؤسسي وتوريق القروض.,http://theoremlp.com,شتاء 2014,التكنولوجيا المالية,التكنولوجيا المالية -> إدارة الأصول,التكنولوجيا المالية؛ إدارة الأصول,التكنولوجيا المالية؛ التعلم الآلي,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,34,FALSE,مكتسب,https://www.ycombinator.com/companies/theorem,,
واي سي,ليفتجنتر,تخصيص التعلم الآلي للخصائص الرقمية الديناميكية -,"يستخدم LiftIgniter أحدث تقنيات علوم البيانات لمساعدة الناشرين وتجار التجزئة على تحسين مواقعهم الإلكترونية وتطبيقاتهم الجوالة بشكل فوري. يُتيح التخصيص المُعتمد على التعلم الآلي عرض المحتوى المثالي (فيديو، مقال، منتج للشراء) أمام المستخدم في اللحظة التي يُرجّح فيها تفاعله أو تحويله - دون الحاجة إلى علامات أو عمل يدوي. يتعلم النظام ويُحدّث نفسه تلقائيًا ليتوافق دائمًا مع مستخدميك ومحتواك. نحقق تحسنًا بنسبة 50% في معدل النقر إلى الظهور (CTR) والتفاعل والمحادثات - بيوم عمل واحد فقط من جانبك. تخيّل إنشاء منصة رقمية ديناميكية وفورية تُتيح تجربة مثالية تُناسب انطباع المستخدم في تلك اللحظة. هذه هي LiftIgniter! يتمتع فريقنا من حملة الدكتوراه بخبرة مباشرة في بناء أنظمة تخصيص متطورة على نطاق واسع لبعض من أكبر الشركات في العالم. ما لم تكن تخطط لتعيين فريقك الخاص الذي يتمتع بخبرة عميقة (وهذا غير مرجح نظرًا لوجود عدد قليل جدًا من الأشخاص الذين يتمتعون بهذه الخبرة)، فيجب عليك الاتصال بنا للتحدث حول كيفية تعزيز تجاربك الرقمية.",http://liftigniter.com/,شتاء 2014,ب2ب,B2B -> التسويق,التسويق بين الشركات,التعلم الآلي؛ التخصيص,الولايات المتحدة الأمريكية؛ أمريكا / كندا,11,FALSE,مكتسب,https://www.ycombinator.com/companies/liftigniter,,
واي سي,ويت.اي,اللغة الطبيعية للمطورين --Wit عبارة عن واجهة برمجة تطبيقات تجعل الأمر سهلاً...,"اللغة الطبيعية لإنترنت الأشياء. Wit.ai هي واجهة برمجة تطبيقات تُسهّل على المطورين بناء تطبيقات وأجهزة يُمكنك التواصل معها. يُمكن لأي تطبيق أو جهاز استخدام Wit.ai لأخذ مُدخلات اللغة الطبيعية (كلام أو رسالة نصية) من المستخدمين وتحويلها إلى أوامر. Wit.ai هي شركة تابعة لـ Y Combinator، ومقرها بالو ألتو، وممولة من قِبل Andreessen Horowitz.",http://wit.ai,شتاء 2014,ب2ب,B2B -> الهندسة والمنتج والتصميم,B2B؛ الهندسة والمنتج والتصميم,أدوات المطور؛ معالجة اللغة الطبيعية؛ واجهات برمجة التطبيقات,الولايات المتحدة الأمريكية؛ أمريكا / كندا,11,FALSE,مكتسب,https://www.ycombinator.com/companies/wit-ai,,
واي سي,ميكسر بوكس,تطبيقات الذكاء الاصطناعي الفائقة لحياة أسهل | التطبيقات الفائقة التي يمكنك استخدامها في أي وقت وأي مكان,"MixerBox هي شركة متخصصة في تطبيقات الذكاء الاصطناعي الفائقة، تُسهّل حياة الناس من خلال منصتها لتطبيقات الجوال الأساسية والمتاحة على مدار الساعة طوال أيام الأسبوع. تأسست MixerBox عام ٢٠١٢ على يد جون لاي، خريج جامعة هارفارد، وتحظى بدعم من شركة Y Combinator، وهي شركة ناشئة في وادي السيليكون. تجاوز عدد مرات تنزيل تطبيقات الشركة ٣٠٠ مليون عملية تنزيل حول العالم، وتتيح لمستخدمي MixerBox الاستيقاظ على نغمات إنذار MixerBox، وقراءة أخبار MixerBox، والتصفح باستخدام متصفح ChatAI، والدفع باستخدام MixerBox AI Pay، ومشاهدة MixerBox FreecableTV، والنوم مع MixerBox Inspire Meditation. تسعى MixerBox، تطبيقًا تلو الآخر، لتصبح ""منصة التطبيقات الفائقة في أي وقت وأي مكان"" لمساعدة الناس على عيش حياة أسهل.",http://mixerbox.com,شتاء 2014,مستهلك,مستهلك,مستهلك,الذكاء الاصطناعي التوليدي؛ المستهلك؛ الإنتاجية؛ الذكاء الاصطناعي,الولايات المتحدة الأمريكية؛ أمريكا / كندا,30,FALSE,نشيط,https://www.ycombinator.com/companies/mixerbox,,
واي سي,المنهج المفتوح,مساعدة معلمي رياض الأطفال والمدارس الابتدائية والثانوية ومديري المدارس في بناء...,"مكتبة لمواد تعليمية وتعلمية منتقاة من قِبل المجتمع، مجانية لجميع أنحاء العالم. انضموا إلينا؛ معًا نستطيع التدريس بشكل أفضل. OpenCurriculum, Inc. هي منظمة تكنولوجية غير ربحية مقرها كاليفورنيا، مهمتها تعزيز الانفتاح والابتكار في تعليم رياض الأطفال والمدارس الثانوية حول العالم.",https://opencurriculum.org,شتاء 2014,غير محدد,غير محدد,غير محدد,الذكاء الاصطناعي؛ التعليم,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,,FALSE,نشيط,https://www.ycombinator.com/companies/opencurriculum,,
واي سي,تشيكر,البنية التحتية البشرية لمستقبل العمل,"تُنشئ Checkr بنيةً تحتيةً بشريةً لمستقبل العمل. ونؤمن بأن للجميع الحق في الحصول على فرصة عمل عادلة. ولذلك، صممنا طريقةً أسرع وأكثر عدالةً لفرز الباحثين عن عمل. لمزيد من المعلومات حول مهمتنا ومنتجاتنا، تفضل بزيارة http://checkr.com.",http://www.checkr.com,صيف 2014,ب2ب,B2B -> الموارد البشرية,B2B؛ الموارد البشرية,الامتثال؛ تكنولوجيا الموارد البشرية؛ واجهة برمجة التطبيقات؛ برامج المؤسسات؛ الذكاء الاصطناعي,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,800,TRUE,نشيط,https://www.ycombinator.com/companies/checkr,,
واي سي,إم تيلور,احصل على القياسات عبر هاتفك في أقل من 30 ثانية للحصول على المقاس المثالي,MTailor هي خدمة iPad أو iPhone للرجال لالتقاط أبعاد مقاسات قمصانهم وتصنيعها وتسليمها.,http://mtailor.com,صيف 2014,مستهلك,المستهلك -> الملابس ومستحضرات التجميل,المستهلك؛ الملابس ومستحضرات التجميل,التعلم الآلي؛ التجارة الإلكترونية؛ الملابس,الولايات المتحدة الأمريكية؛ أمريكا / كندا,11,FALSE,نشيط,https://www.ycombinator.com/companies/mtailor,,
واي سي,نزهة صحية,تمكين المرضى من الحصول على بيانات واقعية عميقة,"الرعاية الصحية تحتاج إلى بيانات جيدة. في PicnicHealth، نعمل على بناء مجموعات بيانات واقعية ومتعمقة تُغذي أحدث الأبحاث، مع منح المرضى القدرة على التحكم في بيانات سجلاتهم الطبية. تُقدم هذه المجموعات الكاملة والغنية بالمعلومات السريرية رؤى فريدة - تغطي عشرات الأمراض - لتسريع وصول المرضى إلى العلاجات المناسبة. نعمل مباشرةً مع المرضى ونستفيد من أحدث تقنيات التعلم الآلي لتحويل السجلات الطبية المعقدة إلى مجموعات بيانات منظمة وجاهزة للبحث. حتى الآن، ساعدنا عشرات الآلاف من المرضى على الوصول الآمن إلى سجلاتهم، وساهمنا بشكل استباقي في تطوير الأبحاث المتعلقة بالأمراض التي تؤثر على حياتهم.",https://picnichealth.com,صيف 2014,الرعاية الصحية,الرعاية الصحية,الرعاية الصحية,التعلم الآلي؛ تكنولوجيا الصحة؛ الصحة الرقمية؛ الرعاية الصحية؛ معالجة اللغة الطبيعية,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,100,TRUE,نشيط,https://www.ycombinator.com/companies/picnichealth,,
واي سي,سيلز سيفت,مصادر العملاء الذكية,SalesSift (المعروفة سابقًا باسم LeadFinch) هي منصة ذكية لجذب العملاء المحتملين. تُرشّح خوارزمية التعلم الآلي لدينا أفضل الشركات الجديدة التي يجب استهدافها بناءً على سجلّ عملائك الحاليين.,https://salesift.com,صيف 2014,ب2ب,B2B -> المبيعات,B2B؛ المبيعات,الذكاء الاصطناعي؛ التعلم الآلي؛ المبيعات؛ التسويق؛ إدارة علاقات العملاء,المملكة المتحدة؛ أوروبا,2,FALSE,غير نشط,https://www.ycombinator.com/companies/salessift,,
واي سي,تول,مساعدة المزارعين على اتخاذ قرارات الري باستخدام أجهزة الاستشعار / الرؤية الحاسوبية,"يساعد Tule المزارعين على اتخاذ قرارات الري. باستخدام تقنية جامعة كاليفورنيا، ديفيس، القائمة على الأبحاث، يُزوّد ​​مستشعر الأجهزة المزارعين بقياسات استهلاك المياه على مستوى الحقل (أي التبخر والنتح الفعلي)، وقياسات الإجهاد المائي للمحاصيل، وقياسات الري التطبيقي، وتوصيات الري. باستخدام أحدث تقنيات الذكاء الاصطناعي ومجموعة بيانات الإجهاد المائي غير المسبوقة للمحاصيل، يُزوّد ​​منتجنا الأحدث، Tule Vision، المزارعين بمعلومات عن الإجهاد المائي لنباتاتهم بمجرد التقاط صورة بهواتفهم المحمولة.",http://tuletechnologies.com,صيف 2014,الصناعات,الصناعات -> الزراعة,الصناعات؛ الزراعة,الزراعة الخلوية؛ التعلم الآلي؛ إنترنت الأشياء,الولايات المتحدة الأمريكية؛ أمريكا / كندا,8,FALSE,مكتسب,https://www.ycombinator.com/companies/tule,,
واي سي,نسج,الشبكات المهنية بمساعدة الذكاء الاصطناعي.,"يقدم Weave تعريفًا احترافيًا شخصيًا كل أسبوع (YCS14). تابعونا :) تويتر: @startweaving، #startweaving فيسبوك: weavenetworking الموقع الإلكتروني: http://www.weave.in/ البريد الإلكتروني: lisa@weave.in 

نتمنى لكم نسجًا سعيدًا! فريق Weave",http://weave.in,صيف 2014,مستهلك,المستهلك -> خدمات الوظائف والمهن,المستهلك؛ خدمات العمل والمهن,الذكاء الاصطناعي,الولايات المتحدة الأمريكية؛ أمريكا / كندا,11,FALSE,غير نشط,https://www.ycombinator.com/companies/weave-2,,
واي سي,كفينتوس,نقوم بأتمتة العمليات للمستشفيات وأنظمة الرعاية الصحية,"تتمثل مهمة Qventus في تبسيط آلية عمل الرعاية الصحية لضمان سير العمل بسلاسة - للجميع. تقدم الشركة منصة برمجية قائمة على الذكاء الاصطناعي تساعد فرق المستشفيات على اتخاذ قرارات تشغيلية أفضل في الوقت الفعلي. تعالج Qventus التحديات التشغيلية في جميع أنحاء المستشفى، بما في ذلك أقسام الطوارئ، ومناطق ما حول الجراحة، وسلامة المرضى، وعيادات المرضى الداخليين والخارجيين، والصيدليات. تقع Qventus في وادي السيليكون، وتفخر بالعمل مع مستشفيات عامة وأكاديمية ومجتمعية رائدة في جميع أنحاء الولايات المتحدة. تأسست Qventus عام 2012، واختيرت ضمن قائمة Fast Company لأكثر الشركات ابتكارًا لعام 2018. كما تم الاعتراف بالشركة كرائدة ومبتكرة في مجال التميز التشغيلي، حيث حصلت على جائزة الابتكارات القوية في مجال الرعاية الصحية لعام 2016 وجائزة المبتكر في معلومات الرعاية الصحية لعام 2017. لمزيد من المعلومات حول Qventus، يُرجى...",,,,,,,,,,,,,
